experiment,Subject_global,N_train,testMSElabels,testMSElabels_Efron,%trials choose right side,%trials choose complex model,bias (true gen),bias (testMSE),bias (testMSE_Efron),bias (testMAE),bias (testTSE),human_Efron_choiceprobdiff
exp1,31,10.0,0.2916666666666667,0.2916666666666667,0.5833333333333334,0.8125,0.3125,0.5208333333333334,0.5208333333333334,0.5208333333333334,0.2916666666666667,0.5208333333333333
exp1,31,50.0,0.5,0.5208333333333334,0.4791666666666667,0.7708333333333334,0.2708333333333333,0.2708333333333333,0.25,0.2708333333333333,0.25,0.25
exp1,32,10.0,0.2916666666666667,0.2916666666666667,0.6041666666666666,0.4166666666666667,-0.08333333333333333,0.125,0.125,0.125,-0.10416666666666667,0.125
exp1,32,50.0,0.5,0.5208333333333334,0.5208333333333334,0.5,0.0,0.0,-0.020833333333333332,0.0,-0.020833333333333332,-0.02083333333333337
exp1,33,10.0,0.2916666666666667,0.2916666666666667,0.4375,0.2916666666666667,-0.20833333333333334,0.0,0.0,0.0,-0.22916666666666666,0.0
exp1,33,50.0,0.5,0.5208333333333334,0.6041666666666666,0.25,-0.25,-0.25,-0.2708333333333333,-0.25,-0.2708333333333333,-0.27083333333333337
exp1,34,10.0,0.2916666666666667,0.2916666666666667,0.5,0.5,0.0,0.20833333333333334,0.20833333333333334,0.20833333333333334,-0.020833333333333332,0.20833333333333331
exp1,34,50.0,0.5,0.5208333333333334,0.5625,0.6875,0.1875,0.1875,0.16666666666666666,0.1875,0.16666666666666666,0.16666666666666663
exp1,35,10.0,0.2916666666666667,0.2916666666666667,0.5833333333333334,0.9791666666666666,0.4791666666666667,0.6875,0.6875,0.6875,0.4583333333333333,0.6875
exp1,35,50.0,0.5,0.5208333333333334,0.4375,0.625,0.125,0.125,0.10416666666666667,0.125,0.10416666666666667,0.10416666666666663
exp1,36,10.0,0.2916666666666667,0.2916666666666667,0.625,0.0,-0.5,-0.2916666666666667,-0.2916666666666667,-0.2916666666666667,-0.5208333333333334,-0.2916666666666667
exp1,36,50.0,0.5,0.5208333333333334,0.5416666666666666,0.0,-0.5,-0.5,-0.5208333333333334,-0.5,-0.5208333333333334,-0.5208333333333334
exp1,37,10.0,0.2916666666666667,0.2916666666666667,0.5625,0.0,-0.5,-0.2916666666666667,-0.2916666666666667,-0.2916666666666667,-0.5208333333333334,-0.2916666666666667
exp1,37,50.0,0.5,0.5208333333333334,0.5208333333333334,0.020833333333333332,-0.4791666666666667,-0.4791666666666667,-0.5,-0.4791666666666667,-0.5,-0.5
